,team,YUSAG_coef
1,James Madison,33.913687350298865
2,North Dakota St.,31.681034308303555
3,UNI,24.16564238515806
4,Eastern Wash.,23.687390241342612
5,South Dakota St.,22.873590200808962
6,Youngstown St.,22.557316360686453
7,Charleston So.,21.498623418271215
8,Chattanooga,20.890943996132442
9,Jacksonville St.,20.68298165925508
10,Coastal Caro.,20.38944191116007
11,Villanova,19.027156726232995
12,Illinois St.,17.419095171045722
13,Wofford,17.208919357503756
14,The Citadel,16.990985842082985
15,Montana,16.564459162105106
16,Sam Houston St.,16.4896497145876
17,New Hampshire,15.579366443463826
18,Richmond,14.506819132447358
19,Samford,14.480086969104347
20,Princeton,13.971679764001582
21,Southern Ill.,13.032517991392671
22,Southern Utah,12.811335007114655
23,South Dakota,12.788144663145697
24,Liberty,12.688945124592479
25,Lehigh,12.22744791186403
26,Western Ill.,11.953516728361985
27,Central Ark.,11.932447435006317
28,North Dakota,11.583315519709577
29,Northern Ariz.,11.054708618353965
30,Fordham,10.764863671402159
31,Cal Poly,10.700683142866037
32,Kennesaw St.,10.211596159275512
33,William & Mary,9.824146726043312
34,Colgate,9.468363573759286
35,Furman,9.415882284768891
36,UT Martin,9.310751206558653
37,Albany (NY),8.62522304745155
38,Maine,8.49753973224789
39,San Diego,7.789347357267198
40,Harvard,7.776762351967571
41,Indiana St.,6.96297528052878
42,Penn,6.876864868490819
43,Stony Brook,6.470949539311829
44,Mercer,6.415361503765502
45,Saint Francis (PA),6.202211611248498
46,Charlotte,5.981007338848751
47,Weber St.,5.835568800533251
48,Portland St.,5.824743567970453
49,McNeese,5.748943623064694
50,Duquesne,5.745203290985312
51,Montana St.,5.638072781352977
52,Towson,5.345955554478176
53,Delaware,4.921208888326666
54,Eastern Ill.,4.768632349270391
55,Dartmouth,4.592075822571814
56,Gardner-Webb,4.56902329593863
57,Grambling,3.4319968740329942
58,Tennessee Tech,3.1839781241657374
59,Western Caro.,3.173223250105088
60,N.C. A&T,3.0845144676669896
61,Southeastern La.,2.400342504339732
62,Northern Colo.,1.9611424578182557
63,Southeast Mo. St.,1.471204648867779
64,Eastern Ky.,0.7168492613628238
65,Bryant,0.22151970929124154
66,Monmouth,0.17986682709431945
67,Dayton,-0.8561968200653215
68,South Carolina St.,-1.0051274364703813
69,VMI,-1.0115810496049684
70,Bucknell,-1.0323636180841036
71,UC Davis,-1.168676694927381
72,Wagner,-1.6014462718074562
73,Holy Cross,-2.117165160937395
74,Missouri St.,-2.3040483280628528
75,N.C. Central,-2.478269819205769
76,Murray St.,-2.680003869701812
77,Sacred Heart,-3.463268075968803
78,Tennessee St.,-3.6287745492379453
79,Southern U.,-3.6391171942789566
80,Lamar University,-4.274353307740828
81,SFA,-4.483346865809511
82,Nicholls St.,-4.515732220035373
83,Yale,-4.979445203999374
84,Presbyterian,-5.141561563195182
85,Brown,-6.045899336079348
86,Idaho St.,-6.480326935219209
87,Bethune-Cookman,-6.508701709570227
88,Columbia,-6.883165173206783
89,Elon,-7.048019360399264
90,Sacramento St.,-7.302831446533445
91,Rhode Island,-7.401303566833592
92,Lafayette,-7.5294888643645885
93,Alcorn,-7.798655760851629
94,Cornell,-7.825878311749101
95,Prairie View,-8.355179743283449
96,Georgetown,-8.723034868815015
97,Northwestern St.,-9.65129389457304
98,Abilene Christian,-9.894031417045325
99,Drake,-10.331696416407585
100,Central Conn. St.,-10.33426837781399
101,Robert Morris,-11.055856340444764
102,Hampton,-11.706637780508121
103,ETSU,-11.9276136587958
104,Jacksonville,-12.57672606504581
105,Incarnate Word,-13.045584664302675
106,Marist,-14.447618401778367
107,Norfolk St.,-14.890863759401432
108,Austin Peay,-17.261647824496873
109,Morehead St.,-17.43508230557119
110,Florida A&M,-18.236081781806586
111,Morgan St.,-18.78437060851499
112,Campbell,-19.02720239814869
113,Houston Baptist,-19.44789981339203
114,Alabama St.,-20.492633257095434
115,Butler,-20.56858509356194
116,Howard,-20.771772146584937
117,Stetson,-22.71988724920004
118,Texas Southern,-22.814691498471955
119,Savannah St.,-23.06595513234865
120,Jackson St.,-23.724972138875152
121,Alabama A&M,-24.774511108126998
122,Valparaiso,-26.122009491705317
123,Delaware St.,-26.53106350473076
124,Davidson,-34.75155110733047
125,Mississippi Val.,-41.63899756406815
126,Ark.-Pine Bluff,-42.44577668245221
